order_id,user_id,restaurant_id,order_date,order_amount,discount_amount,delivery_cost
1000001,3506,1041,2025-11-10,901.82,182.28,34.42
1000002,3647,1235,2025-11-15,239.0,337.31,37.37
1000003,6576,1994,2025-03-13,318.14,147.92,
1000004,785,305,2025-03-30,575.87,80.23,95.46
1000005,3414,1461,2025-05-11,282.43,328.06,114.82
1000006,6378,777,2025-11-24,466.54,308.09,119.75
1000007,5444,995,2025-09-14,942.86,34.31,95.2
1000008,3059,1218,2025-01-09,197.95,257.08,127.86
1000009,2757,1299,2025-07-31,1197.7,336.47,47.33
1000010,7115,1167,2025-12-30,183.48,253.49,70.39
1000011,5695,261,2025-01-13,337.65,214.43,68.76
1000012,7827,1625,2025-05-21,1071.6,312.08,87.62
1000013,5362,903,2025-10-02,881.31,319.27,69.05
1000014,129,2111,2025-09-12,647.32,329.52,134.23
1000015,6646,2348,2025-07-11,796.02,194.36,74.9
1000016,7215,1135,2025-04-20,780.0,125.02,137.42
1000017,5873,568,2025-08-07,560.44,187.56,114.15
1000018,95,2449,2025-01-11,1380.67,332.67,119.88
1000019,2352,2361,2025-08-28,401.36,168.15,55.93
1000020,4644,2436,2025-07-30,859.4,349.35,99.54
1000021,217,808,2025-04-11,374.58,236.96,31.34
1000022,1901,1402,2025-12-24,0.0,224.04,70.81
1000023,3226,317,2025-12-16,830.61,265.21,81.22
1000024,1140,1535,2025-02-17,668.6,66.18,124.82
1000025,7411,930,2025-02-15,485.17,303.9,30.02
1000026,770,2182,2025-11-23,376.4,149.91,
1000027,6399,2498,2025-04-24,277.17,283.08,55.19
1000028,6916,1401,2025-06-08,274.78,225.51,31.74
1000029,7811,1241,2025-07-12,775.75,156.35,133.49
1000030,3433,789,2025-04-14,813.42,154.6,65.77
1000031,2407,1206,2025-08-01,870.54,175.73,93.95
1000032,5962,1428,2025-07-10,213.0,21.55,71.47
1000033,3430,618,2025-10-23,307.29,260.35,92.11
1000034,541,424,2025-12-05,671.49,264.77,70.15
1000035,6201,1661,2025-12-18,964.65,286.84,52.69
1000036,3846,1360,2025-08-21,1254.96,184.44,122.72
1000037,5389,1735,2025-11-21,667.01,192.67,72.08
1000038,6351,664,2025-08-10,1174.03,100.43,97.59
1000039,5509,774,2025-07-07,1055.87,35.91,32.93
1000040,3408,160,2025-07-19,819.78,301.91,76.33
1000041,306,2252,2025-02-25,459.11,68.01,25.26
1000042,4438,1747,2025-04-26,1189.34,176.3,59.86
1000043,2375,2253,2025-02-05,577.42,271.15,49.34
1000044,252,2451,2025-06-07,327.77,273.06,37.19
1000045,824,1969,2025-09-23,1156.54,24.25,40.39
1000046,6909,325,2025-02-28,1278.08,57.89,136.2
1000047,1365,106,2025-10-26,1243.49,217.38,57.46
1000048,1171,535,2025-08-17,741.57,123.85,92.64
1000049,4693,1582,2025-07-31,1007.16,249.72,73.2
1000050,909,2377,2025-12-05,183.16,75.24,
1000051,3945,1358,2025-06-29,1197.33,226.18,102.92
1000052,598,1379,2025-10-20,1052.84,231.17,76.17
1000053,2142,2140,2025-08-03,832.61,281.07,66.09
1000054,933,1804,2025-11-20,897.09,275.09,77.1
1000055,3130,1765,2025-03-29,762.83,267.42,42.59
1000056,7028,1021,2025-05-03,1266.9,215.53,32.79
1000057,1218,604,2025-11-17,641.18,316.92,78.78
1000058,5930,585,2025-10-30,613.19,321.97,75.3
1000059,7816,2125,2025-09-17,1209.7,96.89,86.1
1000060,1437,124,2025-10-05,1345.44,28.64,127.44
1000061,1783,1307,2025-08-07,1320.8,102.63,119.95
1000062,4107,1509,2025-06-18,1370.36,239.94,125.86
1000063,5674,82,2025-05-09,1107.78,53.1,
1000064,4737,1667,2025-07-17,474.41,162.73,35.42
1000065,2623,737,2025-06-11,1083.91,230.42,49.03
1000066,4954,77,2025-09-10,754.1,303.62,65.33
1000067,4361,2250,2025-08-17,442.06,149.7,35.3
1000068,598,1281,2025-01-20,1239.09,192.52,94.06
1000069,7891,1434,2025-09-13,778.81,335.93,107.02
1000070,1701,1103,2025-10-16,1291.26,30.78,77.92
1000071,7016,1293,2025-09-19,812.51,299.05,67.47
1000072,7651,902,2025-04-16,787.63,37.7,129.85
1000073,957,2228,2025-12-05,389.81,226.56,118.67
1000074,5955,336,2025-01-28,278.92,266.26,53.16
1000075,1669,835,2025-03-23,258.5,347.44,135.2
1000076,7888,1427,2025-01-29,188.27,297.27,50.01
1000077,6377,626,2025-06-27,841.8,206.88,80.18
1000078,6915,2058,2025-06-02,1251.57,275.33,35.19
1000079,1464,1554,2025-02-10,714.45,156.88,107.71
1000080,3082,1387,2025-04-21,135.22,300.23,108.4
1000081,3524,1617,2025-05-02,477.43,71.49,43.61
1000082,4963,1110,2025-09-13,1366.83,302.77,79.32
1000083,3153,2192,2025-06-02,757.91,54.26,119.98
1000084,4910,256,2025-08-15,1063.9,88.52,124.32
1000085,1110,672,2025-10-03,151.34,151.72,76.76
1000086,2189,1589,2025-07-29,945.66,313.53,113.57
1000087,888,406,2025-09-30,988.1,257.49,113.95
1000088,1517,751,2025-02-09,356.88,277.1,100.44
1000089,7062,1474,2025-01-22,468.27,159.87,65.29
1000090,5237,584,2025-02-03,991.0,264.29,31.49
1000091,2464,123,2025-03-30,1362.32,45.43,107.57
1000092,6610,518,2025-12-08,136.49,313.99,79.51
1000093,1635,1012,2025-04-17,211.06,127.09,36.87
1000094,6853,2414,2025-12-19,722.46,213.66,112.22
1000095,5512,1481,2025-02-17,829.68,14.74,65.34
1000096,841,2335,2025-07-14,261.1,38.63,78.56
1000097,5379,1764,2025-03-20,1019.25,118.69,76.19
1000098,6416,2009,2025-09-28,976.43,17.72,120.39
1000099,1271,380,2025-06-04,184.28,172.92,85.87
1000100,2228,896,2025-07-05,187.85,31.48,112.9
1000101,1243,2005,2025-02-04,822.31,14.06,45.3
1000102,5154,259,2025-03-14,638.44,254.87,102.47
1000103,1333,116,2025-10-11,1095.74,264.73,77.26
1000104,3125,2428,2025-06-16,404.87,148.69,137.17
1000105,7494,127,2025-12-02,490.39,332.87,108.24
1000106,603,710,2025-08-08,373.08,34.12,102.95
1000107,6285,1423,2025-04-25,837.87,60.05,68.06
1000108,5562,595,2025-03-05,595.46,346.01,35.57
1000109,884,2088,2025-01-23,163.45,337.48,112.52
1000110,5145,2007,2025-02-10,663.39,14.66,91.15
1000111,484,897,2025-09-07,1356.25,1763.125,59.16
1000112,826,216,2025-06-16,892.54,156.31,123.13
1000113,2531,1406,2025-01-18,1054.68,300.09,
1000114,4956,833,2025-07-26,175.9,225.88,41.33
1000115,5294,805,2025-11-17,577.85,185.26,49.4
1000116,4619,1724,2025-05-23,694.61,12.96,106.45
1000117,3914,2010,2025-07-10,375.83,170.29,120.73
1000118,7113,1476,2025-08-17,124.68,167.21,76.44
1000119,4447,848,2025-04-30,230.7,44.43,88.72
1000120,5432,137,2025-05-17,508.23,3.61,107.68
1000121,7149,1372,2025-04-06,512.52,200.73,65.49
1000122,6964,784,2025-08-28,319.05,289.95,101.19
1000123,2987,474,2025-04-03,1169.85,160.86,138.12
1000124,4701,122,2025-03-23,825.72,173.74,76.12
1000125,3624,2027,2025-08-21,546.2,175.61,38.93
1000126,4841,340,2025-06-27,966.46,232.5,127.45
1000127,4693,171,2025-03-10,185.77,269.25,51.48
1000128,6350,1091,2025-11-02,603.9,315.75,63.28
1000129,4525,1841,2025-12-01,388.85,108.27,110.57
1000130,2144,114,2025-07-21,378.49,194.94,100.34
1000131,3053,1098,2025-10-15,1258.78,71.52,27.8
1000132,125,1519,2025-02-03,1172.38,152.55,124.79
1000133,4030,1031,2025-04-08,815.01,39.83,114.92
1000134,6455,1929,2025-06-05,136.71,23.75,132.15
1000135,1322,853,2025-07-05,514.49,31.56,107.02
1000136,7674,1961,2025-12-11,1015.85,1320.605,98.29
1000137,1740,2423,2025-05-21,569.72,172.0,88.3
1000138,370,498,2025-09-30,202.87,346.26,91.32
1000139,1161,1345,2025-05-01,1039.38,208.2,47.06
1000140,6929,890,2025-11-24,421.39,129.66,120.7
1000141,7879,2209,2025-02-21,125.6,147.25,110.51
1000142,3866,976,2025-10-12,954.45,55.2,135.76
1000143,493,179,2025-06-21,1032.61,273.51,93.28
1000144,343,920,2025-07-16,1120.56,273.08,107.78
1000145,5956,1580,2025-04-29,295.23,47.08,118.12
1000146,7830,1046,2025-11-14,1324.11,223.65,81.12
1000147,3715,1423,2025-06-13,923.99,319.04,47.53
1000148,3454,124,2025-01-07,744.75,81.48,71.73
1000149,1318,1681,2025-01-05,1385.5,315.8,95.94
1000150,3991,1485,2025-08-16,620.99,240.91,103.39
1000151,3587,2007,2025-12-20,1165.93,109.41,49.8
1000152,1649,1788,2025-08-09,827.55,296.32,
1000153,2133,1601,2025-11-20,197.8,76.38,67.08
1000154,1954,1491,2025-07-10,294.76,138.93,124.11
1000155,6980,365,2025-06-04,1049.16,174.83,119.4
1000156,1063,1011,2025-09-13,545.34,223.63,120.04
1000157,792,1116,2025-04-29,962.07,241.25,76.76
1000158,1807,192,2025-10-21,1145.99,63.1,86.07
1000159,5503,858,2025-12-27,1182.96,1537.8480000000002,110.54
1000160,2594,410,2025-04-23,1026.69,323.99,34.12
1000161,177,579,2025-06-02,998.02,1297.426,103.17
1000162,7390,1375,2025-04-17,1219.45,121.84,49.09
1000163,5712,2226,2025-11-21,1166.03,276.43,103.55
1000164,2554,1487,2025-06-29,1387.93,125.51,107.61
1000165,4187,1426,2025-10-15,1225.75,19.21,137.8
1000166,3063,1038,2025-09-02,1355.33,330.39,81.18
1000167,7754,1548,2025-10-21,552.33,49.78,80.72
1000168,2101,1127,2025-07-02,526.85,80.58,79.5
1000169,6738,2363,2025-12-23,190.58,90.94,54.33
1000170,684,2229,2025-07-13,196.29,8.59,79.76
1000171,6241,2469,2025-02-12,319.14,263.16,32.69
1000172,7055,2293,2025-01-06,1246.96,70.91,45.82
1000173,1958,1664,2025-10-22,1141.07,57.0,54.3
1000174,1447,1817,2025-01-16,813.15,170.09,55.69
