user_id,signup_date,city,user_type
1,2025-06-15,Pune,Working
2,2025-03-19,Chennai,Working
3,2025-07-22,Hyderabad,Working
4,2025-01-25,Hyderabad,Family
5,2025-02-07,Kolkata,Working
6,2025-10-02,Kolkata,Working
7,2025-02-18,Kolkata,Working
8,2025-07-07,Ahmedabad,Student
9,2025-10-26,Ahmedabad,Working
10,2025-01-30,Kolkata,Student
11,2025-09-17,Chennai,Student
12,2025-04-20,Pune,Working
13,2025-01-20,Delhi,Family
14,2025-02-14,Kolkata,Student
15,2025-08-11,Delhi,Working
16,2025-08-03,Kolkata,Working
17,2025-02-05,Chennai,Working
18,2025-05-04,Hyderabad,Student
19,2025-02-16,Jaipur,Student
20,2025-10-10,Ahmedabad,Student
21,2025-08-06,Ahmedabad,Working
22,2025-01-31,Kolkata,Student
23,2025-10-17,,Working
24,2025-03-05,Delhi,Student
25,2025-04-25,Delhi,Working
26,2025-11-19,bengaluru,Working
27,2025-11-18,Ahmedabad,Student
28,2025-10-26,Chennai,Family
29,2025-02-01,Pune,Working
30,2025-10-23,Kolkata,Family
31,2025-10-27,Hyderabad,Family
32,2025-07-23,Hyderabad,Working
33,2025-01-26,Ahmedabad,Student
34,2025-04-24,Hyderabad,Family
35,2025-01-24,delhi,Family
36,2025-10-13,Mumbai,Family
37,2025-03-10,Delhi,Working
38,2025-05-29,Delhi,Working
39,2025-08-03,Chennai,Family
40,2025-03-15,Kolkata,Working
41,2025-10-04,Kolkata,Student
42,2025-03-02,Hyderabad,Working
43,2025-10-20,Delhi,Working
44,2025-06-07,Kolkata,Family
45,2025-10-14,Kolkata,Student
46,2025-04-03,Kolkata,Family
47,2025-02-22,Delhi,Family
48,2025-10-25,Jaipur,Student
49,2025-10-20,Pune,Student
50,2025-11-24,Hyderabad,Working
51,2025-04-07,Mumbai,Student
52,2025-07-10,Hyderabad,Working
53,2025-02-19,Mumbai,Student
54,2025-10-08,Hyderabad,Working
55,2025-02-02,Pune,Student
56,2025-10-16,Hyderabad,Family
57,2025-01-31,mumbai,Working
58,2025-11-13,Jaipur,Working
59,2025-04-16,Mumbai,Student
60,2025-09-12,Bengaluru,Family
61,2025-09-30,Hyderabad,Working
62,2025-08-07,Bengaluru,Working
63,2025-06-10,Bengaluru,Student
64,2025-08-27,,Working
65,2025-10-27,Kolkata,Family
66,2025-08-21,hyderabad,Student
67,2025-07-05,Delhi,Student
68,2025-06-03,Hyderabad,Working
69,2025-05-08,Pune,Student
70,2025-04-03,Jaipur,Working
71,2025-05-05,Hyderabad,Working
72,2025-02-11,Delhi,Family
73,2025-10-22,Pune,Student
74,2025-06-03,Ahmedabad,Student
75,2025-09-26,Chennai,Working
